Radius (nanometer),g(r) (chain O - water O)
1.7874999,0.9858932408651269
1.7925,0.9858448790219031
1.7974999,0.9868115870187403
1.8025,0.9862498952217109
1.8074999,0.9885230030172121
1.8125,0.9862326180684453
1.8175001,0.9883229627852775
1.8225,0.9877400165080287
1.8275001,0.9863980426927594
1.8325,0.9881695047149546
1.8375001,0.9866391013290224
1.8425,0.9866394649635615
1.8475001,0.9894528591112544
1.8525,0.9881463403757935
1.8575001,0.9883629126452615
1.8625,0.9891700212730223
1.8675001,0.9886387595561705
1.8725,0.9881529346917591
1.8775,0.989265046341539
1.8824999,0.9894840771743434
1.8875,0.9879535154743811
1.8924999,0.9887989849781693
1.8975,0.9874043856920852
1.9024999,0.9889674126317738
1.9075,0.9893897693942229
1.9124999,0.9898118057326509
1.9175,0.9891331271069739
1.9224999,0.9891497552376854
1.9275,0.9886829446910719
1.9324999,0.9902648451410042
1.9375,0.9907037746450847
1.9425001,0.9890221004937838
1.9475,0.9892427086401799
1.9525001,0.9914496041681851
1.9575,0.9902534990514611
1.9625001,0.9906007138527847
1.9675,0.9909946520015337
1.9725001,0.9895744249134522
1.9775,0.9906053836643514
1.9825001,0.990822482282825
1.9875,0.9917445723982008
1.9925001,0.9914067815254746
1.9975,0.9908928432857075
