Radius (nanometer),g(r) (chain O - water O),g(r) (chain N - water O)
1.6175001,0.9367589435576105,0.9349299845216317
1.6225,0.9349895398953914,0.9368778481905677
1.6275,0.9399661795069804,0.9355543709032453
1.6324999,0.9402651066204244,0.9380069685149641
1.6375,0.9410414708495914,0.9375563295131164
1.6424999,0.941010965720223,0.9411447566139975
1.6475,0.9465520359816458,0.9410117393921111
1.6524999,0.9439038951204808,0.9421280284387317
1.6575,0.9464585478293276,0.9418888482028515
1.6624999,0.9467077293065871,0.9435244319205727
1.6675,0.9460923857648651,0.9460371210319339
1.6724999,0.9487160938015265,0.9466145103478233
1.6775,0.9482380043457777,0.9474163450511854
1.6824999,0.9497022570362896,0.9473832128246175
1.6875,0.9500311495986239,0.9490485430984089
1.6925001,0.9496793655239265,0.9484031277182821
1.6975,0.9546064671973512,0.9483856500469452
1.7025001,0.9545220113335687,0.9518860037692257
1.7075,0.9550759153415547,0.9521243670657222
1.7125001,0.9530918107733606,0.9508923015807373
1.7175,0.9555012416734958,0.9523985912379959
1.7225001,0.9569046474627397,0.9534044745092091
1.7275,0.9562423968269911,0.9538366245302256
1.7325001,0.9569860723836012,0.9547525103760623
1.7375,0.9569618425071204,0.9553495540755857
1.7425001,0.9571467569189683,0.9546915898685224
1.7475,0.9587789171760411,0.9560066013649179
1.7525,0.960013683762546,0.9583462660985655
1.7574999,0.9604574631706138,0.9595029686947505
1.7625,0.9615380826756251,0.9601403276973274
1.7674999,0.9625789187666928,0.9615368089060355
1.7725,0.9631951125115915,0.9596063892922964
1.7774999,0.9623461871666203,0.961134806722398
1.7825,0.96444691732854,0.9618228795594923
1.7874999,0.9649552445011472,0.9617284893885824
1.7925,0.9641616063706273,0.961175270525463
1.7974999,0.966649949069512,0.964322804242698
1.8025,0.9672048811211829,0.9643989816377747
1.8074999,0.9667116418191255,0.9619676474239739
1.8125,0.9671872775558161,0.9640849056744878
1.8175001,0.9691768986954269,0.9664149558179068
1.8225,0.9680619304728619,0.9666535516544652
1.8275001,0.9695615621303169,0.967116541162055
1.8325,0.9696028680367218,0.9692570008995871
1.8375001,0.9717846332272218,0.9685320925767481
1.8425,0.9704385965027705,0.970273326233905
1.8475001,0.9733692730273783,0.9691708411050566
1.8525,0.9726824417734105,0.9724762533480399
1.8575001,0.9755741742123928,0.9719718272750771
1.8625,0.9745920285156695,0.9714921856840882
1.8675001,0.9753982080645103,0.9717349494025206
1.8725,0.9770536127037741,0.9715355281793118
1.8775,0.978087747728054,0.9746986077647726
1.8824999,0.9773448750166389,0.9756920774626583
1.8875,0.9770392349220297,0.975608826402974
1.8924999,0.9767396118568618,0.9766887243595768
1.8975,0.9792424411607796,0.9760752347985757
1.9024999,0.978327166939283,0.9773822915215882
1.9075,0.9803181166521848,0.9782280725070002
1.9124999,0.9823660732959484,0.9773431444587275
1.9175,0.9798597770448209,0.9792668886920154
1.9224999,0.9815163995105075,0.9804054327627623
1.9275,0.9820993736984113,0.977434229736337
1.9324999,0.9831204914334545,0.979000970790637
1.9375,0.9828298949174147,0.9809602369248885
1.9425001,0.9837697515219705,0.9794983842677304
1.9475,0.9843184662003256,0.981830036784659
1.9525001,0.9836909937628008,0.9801353836289369
1.9575,0.9842184855845567,0.983429479811105
1.9625001,0.9842993196773943,0.981709602829667
1.9675,0.9875792932908105,0.9828000301415766
1.9725001,0.9840425116637497,0.9848351736163893
1.9775,0.9862137513389574,0.9835215003678884
1.9825001,0.9861689924064767,0.98447414245673
1.9875,0.9872428777002824,0.9847016083661048
1.9925001,0.9885061661633684,0.9854897520910001
1.9975,0.9900573932296052,0.9845536261271751
